_TIME_PERIOD,_OBS_VALUE,_OBS_STATUS,_OBS_CONF
1999-04-22,1.0581,A,F
1999-04-23,1.0634,A,F
1999-04-26,1.0614,A,F
1999-04-27,1.0630,A,F
1999-04-28,1.0666,A,F
1999-04-29,1.0604,A,F
1999-04-30,1.0597,A,F
1999-05-03,1.0589,A,F
1999-05-04,1.0564,A,F
1999-05-05,1.0667,A,F
1999-05-06,1.0799,A,F
1999-05-07,1.0786,A,F
1999-05-10,1.0735,A,F
1999-05-11,1.0732,A,F
1999-05-12,1.0645,A,F
1999-05-13,1.0622,A,F
1999-05-14,1.0676,A,F
1999-05-17,1.0685,A,F
1999-05-18,1.0690,A,F
1999-05-19,1.0634,A,F
1999-05-20,1.0639,A,F
1999-05-21,1.0572,A,F
1999-05-24,1.0585,A,F
1999-05-25,1.0627,A,F
1999-05-26,1.0535,A,F
1999-05-27,1.0473,A,F
1999-05-28,1.0479,A,F
1999-05-31,1.0456,A,F
1999-06-01,1.0434,A,F
1999-06-02,1.0382,A,F
1999-06-03,1.0382,A,F
1999-06-04,1.0315,A,F
1999-06-07,1.0316,A,F
1999-06-08,1.0385,A,F
1999-06-09,1.0466,A,F
1999-06-10,1.0474,A,F
1999-06-11,1.0474,A,F
1999-06-14,1.0437,A,F
1999-06-15,1.0392,A,F
1999-06-16,1.0345,A,F
1999-06-17,1.0340,A,F
1999-06-18,1.0388,A,F
1999-06-21,1.0339,A,F
1999-06-22,1.0313,A,F
1999-06-23,1.0280,A,F
1999-06-24,1.0321,A,F
1999-06-25,1.0443,A,F
1999-06-28,1.0388,A,F
1999-06-29,1.0364,A,F
1999-06-30,1.0328,A,F
1999-07-01,1.0264,A,F
1999-07-02,1.0241,A,F
1999-07-05,1.0232,A,F
1999-07-06,1.0221,A,F
1999-07-07,1.0222,A,F
1999-07-08,1.0182,A,F
1999-07-09,1.0204,A,F
1999-07-12,1.0124,A,F
1999-07-13,1.0183,A,F
1999-07-14,1.0168,A,F
1999-07-15,1.0201,A,F
1999-07-16,1.0202,A,F
1999-07-19,1.0146,A,F
1999-07-20,1.0410,A,F
1999-07-21,1.0462,A,F
1999-07-22,1.0499,A,F
1999-07-23,1.0496,A,F
1999-07-26,1.0698,A,F
1999-07-27,1.0627,A,F
1999-07-28,1.0603,A,F
1999-07-29,1.0680,A,F
1999-07-30,1.0694,A,F
1999-08-02,1.0665,A,F
1999-08-03,1.0645,A,F
1999-08-04,1.0761,A,F
1999-08-05,1.0791,A,F
1999-08-06,1.0740,A,F
1999-08-09,1.0705,A,F
1999-08-10,1.0737,A,F
1999-08-11,1.0668,A,F
1999-08-12,1.0638,A,F
1999-08-13,1.0667,A,F
1999-08-16,1.0553,A,F
1999-08-17,1.0527,A,F
1999-08-18,1.0517,A,F
1999-08-19,1.0517,A,F
1999-08-20,1.0667,A,F
1999-08-23,1.0606,A,F
1999-08-24,1.0512,A,F
1999-08-25,1.0433,A,F
1999-08-26,1.0452,A,F
1999-08-27,1.0450,A,F
1999-08-30,1.0454,A,F
1999-08-31,1.0573,A,F
1999-09-01,1.0613,A,F
1999-09-02,1.0662,A,F
1999-09-03,1.0682,A,F
1999-09-06,1.0594,A,F
1999-09-07,1.0565,A,F
1999-09-08,1.0613,A,F
1999-09-09,1.0592,A,F
1999-09-10,1.0520,A,F
1999-09-13,1.0342,A,F
1999-09-14,1.0362,A,F
1999-09-15,1.0369,A,F
1999-09-16,1.0372,A,F
1999-09-17,1.0397,A,F
1999-09-20,1.0406,A,F
1999-09-21,1.0388,A,F
1999-09-22,1.0509,A,F
1999-09-23,1.0430,A,F
1999-09-24,1.0476,A,F
1999-09-27,1.0414,A,F
1999-09-28,1.0483,A,F
1999-09-29,1.0563,A,F
1999-09-30,1.0665,A,F
1999-10-01,1.0728,A,F
1999-10-04,1.0719,A,F
1999-10-05,1.0686,A,F
1999-10-06,1.0737,A,F
1999-10-07,1.0729,A,F
1999-10-08,1.0657,A,F
1999-10-11,1.0631,A,F
1999-10-12,1.0668,A,F
1999-10-13,1.0778,A,F
1999-10-14,1.0758,A,F
1999-10-15,1.0869,A,F
1999-10-18,1.0868,A,F
1999-10-19,1.0818,A,F
1999-10-20,1.0777,A,F
1999-10-21,1.0797,A,F
1999-10-22,1.0758,A,F
1999-10-25,1.0683,A,F
1999-10-26,1.0633,A,F
1999-10-27,1.0552,A,F
1999-10-28,1.0534,A,F
1999-10-29,1.0453,A,F
1999-11-01,1.0572,A,F
1999-11-02,1.0507,A,F
1999-11-03,1.0491,A,F
1999-11-04,1.0504,A,F
1999-11-05,1.0408,A,F
1999-11-08,1.0405,A,F
1999-11-09,1.0424,A,F
1999-11-10,1.0402,A,F
1999-11-11,1.0406,A,F
1999-11-12,1.0308,A,F
1999-11-15,1.0301,A,F
1999-11-16,1.0336,A,F
1999-11-17,1.0408,A,F
1999-11-18,1.0380,A,F
1999-11-19,1.0279,A,F
1999-11-22,1.0311,A,F
1999-11-23,1.0315,A,F
1999-11-24,1.0215,A,F
1999-11-25,1.0194,A,F
1999-11-26,1.0101,A,F
1999-11-29,1.0077,A,F
1999-11-30,1.0097,A,F
1999-12-01,1.0091,A,F
1999-12-02,1.0057,A,F
1999-12-03,1.0015,A,F
1999-12-06,1.0182,A,F
1999-12-07,1.0239,A,F
1999-12-08,1.0236,A,F
1999-12-09,1.0175,A,F
1999-12-10,1.0141,A,F
1999-12-13,1.0128,A,F
1999-12-14,1.0038,A,F
1999-12-15,1.0021,A,F
1999-12-16,1.0146,A,F
1999-12-17,1.0128,A,F
1999-12-20,1.0096,A,F
1999-12-21,1.0084,A,F
1999-12-22,1.0074,A,F
1999-12-23,1.0089,A,F
1999-12-24,1.0142,A,F
1999-12-27,1.0134,A,F
1999-12-28,1.0089,A,F
1999-12-29,1.0072,A,F
1999-12-30,1.0046,A,F
2000-01-03,1.0090,A,F
2000-01-04,1.0305,A,F
2000-01-05,1.0368,A,F
2000-01-06,1.0388,A,F
2000-01-07,1.0284,A,F
2000-01-10,1.0229,A,F
2000-01-11,1.0256,A,F
2000-01-12,1.0308,A,F
2000-01-13,1.0276,A,F
2000-01-14,1.0225,A,F
2000-01-17,1.0094,A,F
2000-01-18,1.0093,A,F
2000-01-19,1.0105,A,F
2000-01-20,1.0089,A,F
2000-01-21,1.0097,A,F
2000-01-24,1.0027,A,F
2000-01-25,1.0008,A,F
2000-01-26,1.0019,A,F
2000-01-27,0.9976,A,F
2000-01-28,0.9848,A,F
2000-01-31,0.9791,A,F
2000-02-01,0.9710,A,F
2000-02-02,0.9717,A,F
2000-02-03,0.9748,A,F
2000-02-04,0.9835,A,F
2000-02-07,0.9767,A,F
2000-02-08,0.9903,A,F
2000-02-09,0.9934,A,F
2000-02-10,0.9868,A,F
2000-02-11,0.9801,A,F
2000-02-14,0.9867,A,F
2000-02-15,0.9778,A,F
2000-02-16,0.9804,A,F
2000-02-17,0.9919,A,F
2000-02-18,0.9857,A,F
2000-02-21,0.9857,A,F
2000-02-22,1.0022,A,F
2000-02-23,1.0068,A,F
2000-02-24,0.9898,A,F
2000-02-25,0.9813,A,F
2000-02-28,0.9639,A,F
2000-02-29,0.9714,A,F
2000-03-01,0.9667,A,F
2000-03-02,0.9725,A,F
2000-03-03,0.9659,A,F
2000-03-06,0.9640,A,F
2000-03-07,0.9593,A,F
2000-03-08,0.9543,A,F
2000-03-09,0.9616,A,F
2000-03-10,0.9613,A,F
2000-03-13,0.9716,A,F
2000-03-14,0.9620,A,F
2000-03-15,0.9647,A,F
2000-03-16,0.9663,A,F
2000-03-17,0.9672,A,F
2000-03-20,0.9715,A,F
2000-03-21,0.9701,A,F
2000-03-22,0.9603,A,F
2000-03-23,0.9656,A,F
2000-03-24,0.9715,A,F
2000-03-27,0.9712,A,F
2000-03-28,0.9647,A,F
2000-03-29,0.9568,A,F
2000-03-30,0.9555,A,F
2000-03-31,0.9553,A,F
2000-04-03,0.9564,A,F
2000-04-04,0.9538,A,F
2000-04-05,0.9673,A,F
2000-04-06,0.9625,A,F
2000-04-07,0.9564,A,F
2000-04-10,0.9590,A,F
2000-04-11,0.9594,A,F
2000-04-12,0.9576,A,F
2000-04-13,0.9537,A,F
2000-04-14,0.9540,A,F
2000-04-17,0.9573,A,F
2000-04-18,0.9497,A,F
2000-04-19,0.9461,A,F
2000-04-20,0.9376,A,F
2000-04-25,0.9302,A,F
2000-04-26,0.9193,A,F
2000-04-27,0.9163,A,F
2000-04-28,0.9085,A,F
2000-05-02,0.9116,A,F
2000-05-03,0.8913,A,F
2000-05-04,0.8947,A,F
2000-05-05,0.8984,A,F
2000-05-08,0.8952,A,F
2000-05-09,0.8978,A,F
2000-05-10,0.9107,A,F
2000-05-11,0.9079,A,F
2000-05-12,0.9029,A,F
2000-05-15,0.9147,A,F
2000-05-16,0.9065,A,F
2000-05-17,0.8922,A,F
2000-05-18,0.8942,A,F
2000-05-19,0.8875,A,F
2000-05-22,0.9000,A,F
2000-05-23,0.9111,A,F
2000-05-24,0.9098,A,F
2000-05-25,0.8981,A,F
2000-05-26,0.9143,A,F
2000-05-29,0.9262,A,F
2000-05-30,0.9359,A,F
2000-05-31,0.9303,A,F
2000-06-01,0.9330,A,F
2000-06-02,0.9355,A,F
2000-06-05,0.9433,A,F
2000-06-06,0.9485,A,F
2000-06-07,0.9554,A,F
2000-06-08,0.9668,A,F
2000-06-09,0.9490,A,F
2000-06-12,0.9527,A,F
2000-06-13,0.9583,A,F
2000-06-14,0.9636,A,F
2000-06-15,0.9524,A,F
2000-06-16,0.9565,A,F
2000-06-19,0.9640,A,F
2000-06-20,0.9538,A,F
2000-06-21,0.9470,A,F
2000-06-22,0.9405,A,F
2000-06-23,0.9413,A,F
2000-06-26,0.9327,A,F
2000-06-27,0.9401,A,F
2000-06-28,0.9415,A,F
2000-06-29,0.9504,A,F
2000-06-30,0.9556,A,F
2000-07-03,0.9493,A,F
2000-07-04,0.9487,A,F
2000-07-05,0.9537,A,F
2000-07-06,0.9542,A,F
2000-07-07,0.9483,A,F
2000-07-10,0.9523,A,F
2000-07-11,0.9527,A,F
2000-07-12,0.9499,A,F
2000-07-13,0.9349,A,F
2000-07-14,0.9344,A,F
2000-07-17,0.9352,A,F
2000-07-18,0.9353,A,F
2000-07-19,0.9216,A,F
2000-07-20,0.9220,A,F
2000-07-21,0.9363,A,F
2000-07-24,0.9332,A,F
2000-07-25,0.9410,A,F
2000-07-26,0.9390,A,F
2000-07-27,0.9389,A,F
2000-07-28,0.9276,A,F
2000-07-31,0.9243,A,F
2000-08-01,0.9264,A,F
2000-08-02,0.9142,A,F
2000-08-03,0.9028,A,F
2000-08-04,0.9031,A,F
2000-08-07,0.9084,A,F
2000-08-08,0.9047,A,F
2000-08-09,0.8973,A,F
2000-08-10,0.9031,A,F
2000-08-11,0.9132,A,F
2000-08-14,0.9011,A,F
2000-08-15,0.9118,A,F
2000-08-16,0.9072,A,F
2000-08-17,0.9140,A,F
2000-08-18,0.9127,A,F
2000-08-21,0.9023,A,F
2000-08-22,0.8972,A,F
2000-08-23,0.8918,A,F
2000-08-24,0.9012,A,F
2000-08-25,0.9021,A,F
2000-08-28,0.9007,A,F
2000-08-29,0.8965,A,F
2000-08-30,0.8909,A,F
2000-08-31,0.8906,A,F
2000-09-01,0.8902,A,F
2000-09-04,0.9000,A,F
2000-09-05,0.8886,A,F
2000-09-06,0.8818,A,F
2000-09-07,0.8676,A,F
2000-09-08,0.8735,A,F
2000-09-11,0.8609,A,F
2000-09-12,0.8614,A,F
2000-09-13,0.8654,A,F
2000-09-14,0.8693,A,F
2000-09-15,0.8615,A,F
2000-09-18,0.8526,A,F
2000-09-19,0.8541,A,F
2000-09-20,0.8476,A,F
2000-09-21,0.8524,A,F
2000-09-22,0.8890,A,F
2000-09-25,0.8770,A,F
2000-09-26,0.8757,A,F
2000-09-27,0.8861,A,F
2000-09-28,0.8832,A,F
2000-09-29,0.8765,A,F
2000-10-02,0.8802,A,F
2000-10-03,0.8763,A,F
2000-10-04,0.8730,A,F
2000-10-05,0.8786,A,F
2000-10-06,0.8703,A,F
2000-10-09,0.8695,A,F
2000-10-10,0.8721,A,F
2000-10-11,0.8720,A,F
2000-10-12,0.8648,A,F
2000-10-13,0.8627,A,F
2000-10-16,0.8511,A,F
2000-10-17,0.8496,A,F
2000-10-18,0.8525,A,F
2000-10-19,0.8411,A,F
2000-10-20,0.8452,A,F
2000-10-23,0.8377,A,F
2000-10-24,0.8386,A,F
2000-10-25,0.8307,A,F
2000-10-26,0.8252,A,F
2000-10-27,0.8324,A,F
2000-10-30,0.8482,A,F
2000-10-31,0.8417,A,F
2000-11-01,0.8554,A,F
2000-11-02,0.8646,A,F
2000-11-03,0.8730,A,F
2000-11-06,0.8667,A,F
2000-11-07,0.8587,A,F
2000-11-08,0.8559,A,F
2000-11-09,0.8531,A,F
2000-11-10,0.8673,A,F
2000-11-13,0.8620,A,F
2000-11-14,0.8583,A,F
2000-11-15,0.8596,A,F
2000-11-16,0.8569,A,F
2000-11-17,0.8535,A,F
2000-11-20,0.8488,A,F
2000-11-21,0.8474,A,F
2000-11-22,0.8429,A,F
2000-11-23,0.8427,A,F
2000-11-24,0.8436,A,F
2000-11-27,0.8406,A,F
2000-11-28,0.8561,A,F
2000-11-29,0.8650,A,F
2000-11-30,0.8684,A,F
2000-12-01,0.8735,A,F
2000-12-04,0.8908,A,F
2000-12-05,0.8810,A,F
2000-12-06,0.8828,A,F
2000-12-07,0.8943,A,F
2000-12-08,0.8895,A,F
2000-12-11,0.8804,A,F
2000-12-12,0.8782,A,F
2000-12-13,0.8748,A,F
2000-12-14,0.8839,A,F
2000-12-15,0.8984,A,F
2000-12-18,0.8966,A,F
2000-12-19,0.8903,A,F
2000-12-20,0.9059,A,F
2000-12-21,0.9146,A,F
2000-12-22,0.9240,A,F
2000-12-27,0.9310,A,F
2000-12-28,0.9285,A,F
2000-12-29,0.9305,A,F
2001-01-02,0.9423,A,F
2001-01-03,0.9530,A,F
2001-01-04,0.9458,A,F
2001-01-05,0.9545,A,F
2001-01-08,0.9497,A,F
2001-01-09,0.9401,A,F
2001-01-10,0.9412,A,F
2001-01-11,0.9523,A,F
2001-01-12,0.9545,A,F
2001-01-15,0.9428,A,F
2001-01-16,0.9412,A,F
2001-01-17,0.9396,A,F
2001-01-18,0.9404,A,F
2001-01-19,0.9400,A,F
2001-01-22,0.9290,A,F
2001-01-23,0.9407,A,F
2001-01-24,0.9294,A,F
2001-01-25,0.9146,A,F
2001-01-26,0.9228,A,F
2001-01-29,0.9193,A,F
2001-01-30,0.9197,A,F
2001-01-31,0.9293,A,F
2001-02-01,0.9406,A,F
2001-02-02,0.9407,A,F
2001-02-05,0.9425,A,F
2001-02-06,0.9322,A,F
2001-02-07,0.9325,A,F
2001-02-08,0.9220,A,F
2001-02-09,0.9227,A,F
2001-02-12,0.9288,A,F
2001-02-13,0.9275,A,F
2001-02-14,0.9178,A,F
2001-02-15,0.9090,A,F
2001-02-16,0.9113,A,F
2001-02-19,0.9213,A,F
2001-02-20,0.9070,A,F
2001-02-21,0.9146,A,F
2001-02-22,0.9056,A,F
2001-02-23,0.9064,A,F
2001-02-26,0.9105,A,F
2001-02-27,0.9163,A,F
2001-02-28,0.9248,A,F
2001-03-01,0.9269,A,F
2001-03-02,0.9363,A,F
2001-03-05,0.9305,A,F
2001-03-06,0.9279,A,F
2001-03-07,0.9307,A,F
2001-03-08,0.9312,A,F
2001-03-09,0.9357,A,F
2001-03-12,0.9272,A,F
2001-03-13,0.9202,A,F
2001-03-14,0.9182,A,F
2001-03-15,0.9064,A,F
2001-03-16,0.8947,A,F
2001-03-19,0.8996,A,F
2001-03-20,0.9020,A,F
2001-03-21,0.8990,A,F
2001-03-22,0.8889,A,F
2001-03-23,0.8922,A,F
2001-03-26,0.8935,A,F
2001-03-27,0.8952,A,F
2001-03-28,0.8860,A,F
2001-03-29,0.8840,A,F
2001-03-30,0.8832,A,F
2001-04-02,0.8772,A,F
2001-04-03,0.8845,A,F
2001-04-04,0.9032,A,F
2001-04-05,0.9020,A,F
2001-04-06,0.8940,A,F
2001-04-09,0.9018,A,F
2001-04-10,0.8945,A,F
2001-04-11,0.8840,A,F
2001-04-12,0.8849,A,F
2001-04-17,0.8791,A,F
2001-04-18,0.8778,A,F
2001-04-19,0.8827,A,F
2001-04-20,0.8989,A,F
2001-04-23,0.9002,A,F
2001-04-24,0.8973,A,F
2001-04-25,0.8947,A,F
2001-04-26,0.9013,A,F
2001-04-27,0.9023,A,F
2001-04-30,0.8876,A,F
2001-05-02,0.8907,A,F
2001-05-03,0.8903,A,F
2001-05-04,0.8939,A,F
2001-05-07,0.8919,A,F
2001-05-08,0.8866,A,F
2001-05-09,0.8827,A,F
2001-05-10,0.8850,A,F
2001-05-11,0.8773,A,F
2001-05-14,0.8745,A,F
2001-05-15,0.8768,A,F
2001-05-16,0.8834,A,F
2001-05-17,0.8815,A,F
2001-05-18,0.8777,A,F
2001-05-21,0.8754,A,F
2001-05-22,0.8685,A,F
2001-05-23,0.8585,A,F
2001-05-24,0.8604,A,F
2001-05-25,0.8591,A,F
2001-05-28,0.8584,A,F
2001-05-29,0.8552,A,F
2001-05-30,0.8558,A,F
2001-05-31,0.8480,A,F
2001-06-01,0.8478,A,F
2001-06-04,0.8513,A,F
2001-06-05,0.8465,A,F
2001-06-06,0.8543,A,F
2001-06-07,0.8466,A,F
2001-06-08,0.8468,A,F
2001-06-11,0.8494,A,F
2001-06-12,0.8474,A,F
2001-06-13,0.8542,A,F
2001-06-14,0.8492,A,F
2001-06-15,0.8662,A,F
2001-06-18,0.8581,A,F
2001-06-19,0.8563,A,F
2001-06-20,0.8513,A,F
2001-06-21,0.8552,A,F
2001-06-22,0.8528,A,F
2001-06-25,0.8607,A,F
2001-06-26,0.8611,A,F
2001-06-27,0.8622,A,F
2001-06-28,0.8511,A,F
2001-06-29,0.8480,A,F
2001-07-02,0.8455,A,F
2001-07-03,0.8497,A,F
2001-07-04,0.8453,A,F
2001-07-05,0.8422,A,F
2001-07-06,0.8384,A,F
2001-07-09,0.8459,A,F
2001-07-10,0.8545,A,F
2001-07-11,0.8611,A,F
2001-07-12,0.8538,A,F
2001-07-13,0.8539,A,F
2001-07-16,0.8583,A,F
2001-07-17,0.8516,A,F
2001-07-18,0.8630,A,F
2001-07-19,0.8723,A,F
2001-07-20,0.8776,A,F
2001-07-23,0.8676,A,F
2001-07-24,0.8708,A,F
2001-07-25,0.8793,A,F
2001-07-26,0.8764,A,F
2001-07-27,0.8768,A,F
2001-07-30,0.8751,A,F
2001-07-31,0.8755,A,F
2001-08-01,0.8817,A,F
2001-08-02,0.8788,A,F
2001-08-03,0.8806,A,F
2001-08-06,0.8805,A,F
2001-08-07,0.8768,A,F
2001-08-08,0.8763,A,F
2001-08-09,0.8853,A,F
2001-08-10,0.8936,A,F
2001-08-13,0.8991,A,F
2001-08-14,0.8968,A,F
2001-08-15,0.9114,A,F
2001-08-16,0.9144,A,F
2001-08-17,0.9138,A,F
2001-08-20,0.9149,A,F
2001-08-21,0.9128,A,F
2001-08-22,0.9216,A,F
2001-08-23,0.9112,A,F
2001-08-24,0.9108,A,F
2001-08-27,0.9090,A,F
2001-08-28,0.9042,A,F
2001-08-29,0.9122,A,F
2001-08-30,0.9095,A,F
2001-08-31,0.9158,A,F
2001-09-03,0.9072,A,F
2001-09-04,0.8970,A,F
2001-09-05,0.8891,A,F
2001-09-06,0.8855,A,F
2001-09-07,0.8952,A,F
2001-09-10,0.9047,A,F
2001-09-11,0.8964,A,F
2001-09-12,0.9052,A,F
2001-09-13,0.9060,A,F
2001-09-14,0.9219,A,F
2001-09-17,0.9269,A,F
2001-09-18,0.9256,A,F
2001-09-19,0.9258,A,F
2001-09-20,0.9259,A,F
2001-09-21,0.9200,A,F
2001-09-24,0.9164,A,F
2001-09-25,0.9176,A,F
2001-09-26,0.9219,A,F
2001-09-27,0.9205,A,F
2001-09-28,0.9131,A,F
2001-10-01,0.9125,A,F
2001-10-02,0.9189,A,F
2001-10-03,0.9209,A,F
2001-10-04,0.9117,A,F
2001-10-05,0.9174,A,F
2001-10-08,0.9214,A,F
2001-10-09,0.9193,A,F
2001-10-10,0.9136,A,F
2001-10-11,0.9062,A,F
2001-10-12,0.9040,A,F
2001-10-15,0.9097,A,F
2001-10-16,0.9052,A,F
2001-10-17,0.9022,A,F
2001-10-18,0.9026,A,F
2001-10-19,0.9009,A,F
2001-10-22,0.8969,A,F
2001-10-23,0.8887,A,F
2001-10-24,0.8917,A,F
2001-10-25,0.8889,A,F
2001-10-26,0.8911,A,F
2001-10-29,0.9005,A,F
2001-10-30,0.9064,A,F
2001-10-31,0.9042,A,F
2001-11-01,0.9097,A,F
2001-11-02,0.9056,A,F
2001-11-05,0.8961,A,F
2001-11-06,0.8961,A,F
2001-11-07,0.9014,A,F
2001-11-08,0.8972,A,F
2001-11-09,0.8930,A,F
2001-11-12,0.8919,A,F
2001-11-13,0.8842,A,F
2001-11-14,0.8803,A,F
2001-11-15,0.8825,A,F
2001-11-16,0.8845,A,F
2001-11-19,0.8793,A,F
2001-11-20,0.8824,A,F
2001-11-21,0.8791,A,F
2001-11-22,0.8778,A,F
2001-11-23,0.8795,A,F
2001-11-26,0.8818,A,F
2001-11-27,0.8788,A,F
2001-11-28,0.8831,A,F
2001-11-29,0.8887,A,F
2001-11-30,0.8898,A,F
2001-12-03,0.8925,A,F
2001-12-04,0.8902,A,F
2001-12-05,0.8919,A,F
2001-12-06,0.8889,A,F
2001-12-07,0.8911,A,F
2001-12-10,0.8850,A,F
2001-12-11,0.8908,A,F
2001-12-12,0.8938,A,F
2001-12-13,0.8975,A,F
2001-12-14,0.9016,A,F
2001-12-17,0.9049,A,F
2001-12-18,0.9012,A,F
2001-12-19,0.8983,A,F
2001-12-20,0.8973,A,F
2001-12-21,0.8943,A,F
2001-12-24,0.8798,A,F
2001-12-27,0.8823,A,F
2001-12-28,0.8813,A,F
2002-01-02,0.9038,A,F
2002-01-03,0.9036,A,F
2002-01-04,0.8954,A,F
2002-01-07,0.8905,A,F
2002-01-08,0.8909,A,F
2002-01-09,0.8921,A,F
2002-01-10,0.8909,A,F
2002-01-11,0.8919,A,F
2002-01-14,0.8927,A,F
2002-01-15,0.8922,A,F
2002-01-16,0.8817,A,F
2002-01-17,0.8819,A,F
2002-01-18,0.8810,A,F
2002-01-21,0.8840,A,F
2002-01-22,0.8830,A,F
2002-01-23,0.8856,A,F
2002-01-24,0.8767,A,F
2002-01-25,0.8663,A,F
2002-01-28,0.8578,A,F
2002-01-29,0.8624,A,F
2002-01-30,0.8642,A,F
2002-01-31,0.8637,A,F
2002-02-01,0.8632,A,F
2002-02-04,0.8644,A,F
2002-02-05,0.8683,A,F
2002-02-06,0.8664,A,F
2002-02-07,0.8664,A,F
2002-02-08,0.8740,A,F
2002-02-11,0.8794,A,F
2002-02-12,0.8753,A,F
2002-02-13,0.8731,A,F
2002-02-14,0.8693,A,F
2002-02-15,0.8705,A,F
2002-02-18,0.8715,A,F
2002-02-19,0.8692,A,F
2002-02-20,0.8743,A,F
2002-02-21,0.8701,A,F
2002-02-22,0.8747,A,F
2002-02-25,0.8724,A,F
2002-02-26,0.8682,A,F
2002-02-27,0.8649,A,F
2002-02-28,0.8651,A,F
2002-03-01,0.8679,A,F
2002-03-04,0.8649,A,F
2002-03-05,0.8682,A,F
2002-03-06,0.8712,A,F
2002-03-07,0.8764,A,F
2002-03-08,0.8797,A,F
2002-03-11,0.8741,A,F
2002-03-12,0.8733,A,F
2002-03-13,0.8734,A,F
2002-03-14,0.8803,A,F
2002-03-15,0.8853,A,F
2002-03-18,0.8792,A,F
2002-03-19,0.8829,A,F
2002-03-20,0.8814,A,F
2002-03-21,0.8817,A,F
2002-03-22,0.8795,A,F
2002-03-25,0.8759,A,F
2002-03-26,0.8737,A,F
2002-03-27,0.8746,A,F
2002-03-28,0.8724,A,F
2002-04-02,0.8786,A,F
2002-04-03,0.8803,A,F
2002-04-04,0.8818,A,F
2002-04-05,0.8786,A,F
2002-04-08,0.8778,A,F
2002-04-09,0.8763,A,F
2002-04-10,0.8798,A,F
2002-04-11,0.8794,A,F
2002-04-12,0.8803,A,F
2002-04-15,0.8802,A,F
2002-04-16,0.8803,A,F
2002-04-17,0.8880,A,F
2002-04-18,0.8895,A,F
2002-04-19,0.8886,A,F
2002-04-22,0.8882,A,F
2002-04-23,0.8872,A,F
2002-04-24,0.8892,A,F
2002-04-25,0.8969,A,F
2002-04-26,0.8971,A,F
2002-04-29,0.9038,A,F
2002-04-30,0.9008,A,F
2002-05-02,0.9032,A,F
2002-05-03,0.9083,A,F
2002-05-06,0.9144,A,F
2002-05-07,0.9125,A,F
2002-05-08,0.9088,A,F
2002-05-09,0.9061,A,F
2002-05-10,0.9118,A,F
2002-05-13,0.9118,A,F
2002-05-14,0.9062,A,F
2002-05-15,0.9030,A,F
2002-05-16,0.9124,A,F
2002-05-17,0.9152,A,F
2002-05-20,0.9202,A,F
2002-05-21,0.9213,A,F
2002-05-22,0.9260,A,F
2002-05-23,0.9213,A,F
2002-05-24,0.9188,A,F
2002-05-27,0.9190,A,F
2002-05-28,0.9255,A,F
