,days_since_last_order,median_order_type,days_since_last_contact,monthly_mean_order_vol,yearly_mean_cust_rev,status
9858,3,raw_ingredients,9,1489,526,active
2256,2,raw_ingredients,3,629,1069,active
3193,8,raw_ingredients,6,1232,665,active
1880,5,finished_goods,9,1212,562,active
6088,13,finished_goods,12,1304,1226,active
9209,12,raw_ingredients,8,791,1420,active
8183,14,raw_ingredients,4,1170,787,active
6706,4,raw_ingredients,13,608,1272,active
2968,3,finished_goods,14,1195,813,active
1044,9,raw_ingredients,3,1431,975,active
4477,3,finished_goods,2,501,1026,active
8407,6,finished_goods,9,1074,960,active
5104,4,finished_goods,1,679,950,active
1521,14,raw_ingredients,6,712,754,active
9290,2,finished_goods,7,1001,545,active
2498,10,raw_ingredients,7,615,1036,active
5890,13,raw_ingredients,1,973,602,active
8993,12,finished_goods,9,1484,1417,active
10931,8,finished_goods,16,550,1078,cancelled
4170,10,raw_ingredients,13,707,1223,active
11714,33,finished_goods,14,1287,335,paused
4007,4,raw_ingredients,7,739,902,active
7958,11,finished_goods,4,649,1172,active
9104,3,finished_goods,13,960,638,active
6132,5,finished_goods,9,619,1067,active
4222,9,finished_goods,5,1086,1091,active
9512,14,raw_ingredients,5,748,1371,active
11280,29,finished_goods,30,1445,932,paused
9907,7,raw_ingredients,6,1024,941,active
4829,7,raw_ingredients,4,1078,1435,active
9193,10,raw_ingredients,4,1103,1354,active
6824,5,raw_ingredients,10,593,554,active
3880,11,finished_goods,12,566,518,active
9469,11,raw_ingredients,3,747,538,active
10413,12,finished_goods,13,1384,659,cancelled
11155,19,finished_goods,27,509,1104,paused
6226,10,raw_ingredients,1,1411,1057,active
2258,14,raw_ingredients,3,889,1454,active
2515,2,raw_ingredients,10,559,679,active
2806,14,raw_ingredients,14,504,788,active
10441,9,finished_goods,8,770,1358,cancelled
6888,12,raw_ingredients,1,1232,1086,active
2707,12,raw_ingredients,7,513,841,active
7412,8,raw_ingredients,4,642,1092,active
4019,7,raw_ingredients,4,510,632,active
9516,7,finished_goods,8,604,1128,active
2055,13,finished_goods,5,1432,962,active
2044,7,raw_ingredients,13,1155,788,active
6477,1,finished_goods,12,734,1290,active
3939,6,finished_goods,9,1498,1166,active
6004,13,finished_goods,14,610,1193,active
1548,7,raw_ingredients,1,978,1489,active
11585,19,finished_goods,19,704,1216,paused
1621,2,raw_ingredients,12,1334,1143,active
3433,2,raw_ingredients,5,966,565,active
6557,12,raw_ingredients,1,925,1421,active
7317,13,finished_goods,7,1114,846,active
8243,8,raw_ingredients,4,1489,649,active
10391,19,finished_goods,9,1361,1102,cancelled
1090,3,raw_ingredients,14,1334,818,active
7075,10,finished_goods,12,1197,767,active
7899,10,finished_goods,7,1397,650,active
3028,1,raw_ingredients,3,1033,680,active
2188,10,raw_ingredients,13,1404,1045,active
6021,4,raw_ingredients,12,1477,885,active
10626,15,raw_ingredients,10,856,897,cancelled
7488,3,raw_ingredients,1,695,802,active
541,10,finished_goods,1,1288,526,active
10043,18,finished_goods,18,1161,1212,cancelled
3901,3,raw_ingredients,4,1230,1412,active
128,4,raw_ingredients,9,571,1320,active
146,6,raw_ingredients,11,950,1242,active
5631,13,raw_ingredients,11,1176,539,active
4938,12,raw_ingredients,1,969,708,active
9476,4,finished_goods,7,544,863,active
10286,14,finished_goods,15,512,1070,cancelled
7574,5,finished_goods,11,677,1122,active
5070,6,raw_ingredients,13,1466,525,active
6392,11,raw_ingredients,13,553,805,active
5372,14,raw_ingredients,11,1022,890,active
1288,11,raw_ingredients,11,1266,836,active
2784,4,raw_ingredients,7,575,1313,active
7989,1,raw_ingredients,13,810,553,active
5710,1,raw_ingredients,7,1462,525,active
10023,11,finished_goods,9,1382,574,cancelled
6381,7,raw_ingredients,8,775,801,active
11756,20,raw_ingredients,26,757,352,paused
3237,6,raw_ingredients,13,726,581,active
6102,8,raw_ingredients,12,574,1009,active
3526,7,raw_ingredients,9,728,680,active
7301,12,raw_ingredients,12,1043,1297,active
1401,14,finished_goods,1,621,934,active
10476,11,finished_goods,12,407,1310,cancelled
11066,36,finished_goods,24,751,422,paused
5315,7,finished_goods,7,850,1076,active
2198,8,raw_ingredients,3,1127,727,active
4618,6,raw_ingredients,10,1302,1423,active
1742,6,raw_ingredients,5,963,1236,active
6122,3,raw_ingredients,11,603,1209,active
2255,10,raw_ingredients,2,570,645,active
5054,8,raw_ingredients,6,734,806,active
1241,1,raw_ingredients,6,795,1083,active
5900,8,raw_ingredients,9,1442,672,active
6596,10,finished_goods,1,1357,743,active
11780,20,finished_goods,26,976,959,paused
8539,7,raw_ingredients,14,948,664,active
7903,11,raw_ingredients,11,734,644,active
930,10,raw_ingredients,3,1440,1031,active
6261,7,finished_goods,3,1203,681,active
4159,4,raw_ingredients,13,1065,718,active
8689,6,raw_ingredients,5,845,586,active
1216,5,finished_goods,2,747,1491,active
7001,8,raw_ingredients,12,756,1248,active
11917,32,raw_ingredients,7,1385,368,paused
5507,7,raw_ingredients,8,550,727,active
653,11,raw_ingredients,6,956,1238,active
9468,12,raw_ingredients,4,1400,970,active
6348,10,raw_ingredients,8,1165,629,active
3243,3,raw_ingredients,11,696,926,active
3352,14,raw_ingredients,1,667,1455,active
11267,21,raw_ingredients,8,545,270,paused
1219,6,raw_ingredients,3,1251,753,active
2525,11,raw_ingredients,3,738,920,active
5134,3,raw_ingredients,5,1127,1243,active
10696,10,finished_goods,15,795,1028,cancelled
1258,5,raw_ingredients,5,812,909,active
274,10,finished_goods,1,563,1103,active
11446,15,raw_ingredients,9,703,1182,paused
9653,14,raw_ingredients,9,1318,553,active
3665,12,finished_goods,11,912,1134,active
3213,4,raw_ingredients,13,1361,823,active
3286,8,raw_ingredients,3,1236,621,active
9156,12,raw_ingredients,9,1335,760,active
6847,5,raw_ingredients,8,1377,1268,active
8122,1,raw_ingredients,11,843,953,active
821,9,raw_ingredients,8,692,748,active
880,11,raw_ingredients,14,1072,568,active
782,14,finished_goods,5,1301,603,active
6576,9,finished_goods,2,578,781,active
7462,2,finished_goods,11,614,891,active
6463,6,raw_ingredients,1,1007,614,active
10880,8,finished_goods,9,457,707,cancelled
4238,7,raw_ingredients,14,562,1115,active
9542,2,raw_ingredients,14,1343,776,active
1275,1,raw_ingredients,6,659,901,active
9143,13,raw_ingredients,6,872,632,active
9679,9,raw_ingredients,10,781,1171,active
6098,9,raw_ingredients,12,948,1284,active
6567,8,raw_ingredients,5,960,863,active
6289,6,finished_goods,1,835,671,active
5626,10,raw_ingredients,12,748,664,active
1932,9,raw_ingredients,2,1482,1350,active
8756,12,finished_goods,10,504,1130,active
6063,5,raw_ingredients,13,1139,576,active
5300,7,raw_ingredients,5,591,1137,active
4643,12,raw_ingredients,13,543,983,active
3790,10,finished_goods,7,1469,1129,active
10770,19,finished_goods,13,1072,1074,cancelled
4040,7,finished_goods,11,1283,653,active
1588,4,finished_goods,3,1260,1473,active
11121,21,raw_ingredients,25,1098,358,paused
8107,3,raw_ingredients,14,906,682,active
8468,4,finished_goods,8,1431,1255,active
3641,10,finished_goods,3,1366,1147,active
6583,7,finished_goods,10,1425,1109,active
957,12,raw_ingredients,3,1183,1480,active
11771,11,raw_ingredients,9,1019,254,paused
3996,2,finished_goods,1,1405,1051,active
11590,35,raw_ingredients,35,1207,420,paused
6765,2,raw_ingredients,5,775,1426,active
7327,11,raw_ingredients,6,1184,1016,active
5159,9,raw_ingredients,4,735,1257,active
11508,17,finished_goods,11,796,645,paused
10976,11,raw_ingredients,12,745,1389,cancelled
3150,8,raw_ingredients,2,1336,1493,active
1059,7,finished_goods,4,1447,542,active
1681,10,raw_ingredients,6,655,1009,active
8594,1,raw_ingredients,11,501,1295,active
7942,1,finished_goods,1,908,1168,active
4300,8,raw_ingredients,13,989,1025,active
253,11,raw_ingredients,14,1294,734,active
8399,12,finished_goods,9,1272,1124,active
11883,24,raw_ingredients,33,1132,952,paused
7367,2,raw_ingredients,11,947,1009,active
2410,14,raw_ingredients,8,541,938,active
643,14,finished_goods,2,1325,1478,active
10269,18,finished_goods,16,529,948,cancelled
5039,4,raw_ingredients,1,1430,1413,active
7207,6,raw_ingredients,1,564,1198,active
11686,16,finished_goods,18,574,1171,paused
6678,11,finished_goods,11,551,660,active
11571,18,finished_goods,10,1249,1045,paused
7699,10,raw_ingredients,4,705,1186,active
10515,9,finished_goods,11,949,1396,cancelled
2385,8,raw_ingredients,3,924,1001,active
11675,24,finished_goods,11,750,972,paused
6731,2,raw_ingredients,4,1253,957,active
1313,12,raw_ingredients,1,1462,647,active
8984,9,raw_ingredients,12,1497,851,active
8765,7,raw_ingredients,9,606,929,active
5572,5,raw_ingredients,5,1468,1177,active
10271,8,finished_goods,19,812,757,cancelled
4738,1,finished_goods,11,867,610,active
863,3,raw_ingredients,6,1424,719,active
8762,2,finished_goods,10,526,1149,active
805,2,raw_ingredients,13,569,1471,active
2011,14,finished_goods,14,983,746,active
5807,14,raw_ingredients,3,865,889,active
7220,11,raw_ingredients,6,878,633,active
9018,12,finished_goods,10,1382,657,active
6579,7,raw_ingredients,14,864,1411,active
7164,14,raw_ingredients,8,689,691,active
3743,7,raw_ingredients,3,700,1188,active
9267,2,raw_ingredients,8,796,1186,active
4680,13,finished_goods,7,643,1181,active
9307,14,raw_ingredients,8,859,728,active
9865,13,finished_goods,10,1122,858,active
7383,13,raw_ingredients,1,1065,854,active
11422,12,finished_goods,38,720,284,paused
9229,14,raw_ingredients,11,1200,1283,active
2474,5,finished_goods,14,1073,696,active
4815,5,raw_ingredients,11,1119,706,active
641,6,raw_ingredients,4,1200,618,active
3719,11,raw_ingredients,12,1345,1272,active
827,5,raw_ingredients,4,778,1152,active
5920,12,raw_ingredients,14,1319,561,active
1834,8,raw_ingredients,11,1174,951,active
5767,8,raw_ingredients,9,526,860,active
10699,7,finished_goods,12,488,443,cancelled
8960,6,raw_ingredients,1,1277,594,active
6192,8,raw_ingredients,12,870,1263,active
6708,14,finished_goods,14,693,1153,active
2209,9,finished_goods,13,892,1169,active
4522,4,raw_ingredients,4,1455,1429,active
5327,1,raw_ingredients,6,720,730,active
8695,6,finished_goods,12,1429,997,active
2369,10,raw_ingredients,12,653,530,active
2979,1,raw_ingredients,11,1488,856,active
2989,11,finished_goods,5,502,1221,active
3282,11,raw_ingredients,4,608,1455,active
6370,11,raw_ingredients,7,970,1386,active
11547,33,raw_ingredients,24,529,704,paused
178,11,raw_ingredients,4,869,1359,active
11564,27,raw_ingredients,29,1198,1120,paused
8316,3,finished_goods,9,1203,1238,active
382,1,finished_goods,5,920,775,active
9417,5,raw_ingredients,11,1298,1260,active
8526,10,raw_ingredients,11,646,1216,active
7310,2,raw_ingredients,7,1290,749,active
724,8,raw_ingredients,8,1478,764,active
3156,14,raw_ingredients,8,1070,609,active
11900,11,finished_goods,7,797,906,paused
10684,8,finished_goods,17,604,1177,cancelled
7767,10,raw_ingredients,6,1333,1071,active
1107,13,raw_ingredients,14,950,1159,active
16,4,raw_ingredients,13,700,1106,active
4351,11,finished_goods,5,1370,1094,active
8595,7,finished_goods,8,501,943,active
2646,4,raw_ingredients,5,1064,1385,active
7860,4,raw_ingredients,6,1216,697,active
7178,9,raw_ingredients,13,1047,1083,active
11910,17,raw_ingredients,37,1408,486,paused
1223,9,raw_ingredients,2,902,917,active
4200,11,raw_ingredients,12,649,815,active
3931,4,finished_goods,12,829,979,active
8377,13,raw_ingredients,2,619,1010,active
2244,5,raw_ingredients,11,870,1477,active
7851,13,finished_goods,11,1017,614,active
7048,10,raw_ingredients,5,676,1277,active
6052,12,finished_goods,7,1115,508,active
8037,7,raw_ingredients,12,684,1281,active
8855,11,raw_ingredients,11,754,624,active
7750,9,finished_goods,7,1163,1081,active
7342,8,raw_ingredients,6,1027,1182,active
6894,9,finished_goods,6,1094,871,active
9670,7,raw_ingredients,1,592,1228,active
11679,32,raw_ingredients,9,942,1311,paused
3973,2,finished_goods,9,777,1322,active
1712,9,finished_goods,14,934,1215,active
1609,14,finished_goods,5,809,799,active
2559,2,finished_goods,1,1248,785,active
7314,1,raw_ingredients,14,1321,1126,active
9415,4,raw_ingredients,14,1173,1292,active
5638,4,raw_ingredients,14,1161,1202,active
8444,1,raw_ingredients,3,606,771,active
11262,35,raw_ingredients,8,865,577,paused
7754,1,finished_goods,8,934,1338,active
7311,7,raw_ingredients,2,1052,1003,active
7316,5,raw_ingredients,6,655,637,active
3748,9,raw_ingredients,1,1295,1400,active
2351,4,raw_ingredients,4,1470,702,active
2611,8,raw_ingredients,3,910,933,active
9687,9,finished_goods,13,923,1436,active
6385,2,finished_goods,6,1165,559,active
1065,2,raw_ingredients,11,625,982,active
5851,10,raw_ingredients,5,674,1037,active
2560,5,raw_ingredients,13,1299,1426,active
4191,13,raw_ingredients,14,1201,889,active
6344,11,raw_ingredients,6,516,769,active
21,3,raw_ingredients,14,783,646,active
8319,14,finished_goods,13,1058,1356,active
5141,10,finished_goods,2,1118,1188,active
11159,26,finished_goods,28,1155,957,paused
1915,13,finished_goods,14,916,1265,active
4055,2,raw_ingredients,7,1426,1465,active
3078,8,raw_ingredients,11,840,834,active
3857,7,raw_ingredients,10,903,1222,active
203,14,raw_ingredients,13,708,691,active
9736,8,finished_goods,9,752,582,active
332,10,raw_ingredients,9,1349,1081,active
4964,14,finished_goods,2,805,730,active
1879,9,finished_goods,2,1294,657,active
5132,14,finished_goods,8,1290,882,active
877,13,raw_ingredients,2,910,927,active
7623,10,raw_ingredients,14,1355,768,active
923,2,raw_ingredients,9,704,821,active
7984,6,raw_ingredients,5,1003,1002,active
2179,13,raw_ingredients,1,1238,901,active
11886,39,raw_ingredients,31,580,687,paused
3398,9,raw_ingredients,5,1421,592,active
3432,10,raw_ingredients,8,1120,1329,active
10927,8,finished_goods,17,1076,987,cancelled
8886,13,raw_ingredients,3,1219,1263,active
7038,9,finished_goods,1,898,1459,active
8914,6,raw_ingredients,7,976,1123,active
10729,16,finished_goods,9,862,416,cancelled
11166,24,finished_goods,9,1013,685,paused
6216,9,finished_goods,10,738,891,active
9238,5,raw_ingredients,10,1323,797,active
5825,9,raw_ingredients,10,776,1079,active
2421,1,raw_ingredients,10,1072,1162,active
2144,4,raw_ingredients,7,1450,501,active
2302,12,raw_ingredients,4,1034,1410,active
4748,2,raw_ingredients,6,1054,1147,active
8231,5,raw_ingredients,8,642,1444,active
8298,2,raw_ingredients,5,732,1281,active
4160,9,raw_ingredients,7,828,811,active
11531,23,finished_goods,9,705,449,paused
6479,7,raw_ingredients,5,1196,511,active
521,12,raw_ingredients,1,1474,1306,active
11458,32,raw_ingredients,20,595,536,paused
9038,6,finished_goods,7,1223,1442,active
2507,4,raw_ingredients,14,886,1404,active
11834,15,finished_goods,20,1305,1153,paused
9836,3,raw_ingredients,12,785,777,active
10135,18,finished_goods,9,456,549,cancelled
5518,14,finished_goods,3,958,731,active
11791,34,finished_goods,39,735,284,paused
1320,5,raw_ingredients,14,585,1015,active
1715,12,finished_goods,9,1295,1005,active
2830,10,raw_ingredients,5,1149,1487,active
1276,4,raw_ingredients,6,562,692,active
9382,14,finished_goods,8,1048,1482,active
2073,10,raw_ingredients,1,1321,776,active
5632,6,raw_ingredients,3,1120,936,active
9131,6,raw_ingredients,13,864,956,active
6411,9,raw_ingredients,3,822,1087,active
7384,11,raw_ingredients,1,1436,969,active
7856,14,raw_ingredients,13,1358,1138,active
9333,12,raw_ingredients,14,710,849,active
7389,11,raw_ingredients,3,607,873,active
3367,3,finished_goods,5,1489,1191,active
7855,8,finished_goods,6,522,947,active
9024,5,raw_ingredients,2,1071,593,active
2516,4,raw_ingredients,4,940,654,active
4087,10,raw_ingredients,8,1221,829,active
10604,15,raw_ingredients,12,740,680,cancelled
4607,3,finished_goods,9,626,868,active
4801,1,raw_ingredients,3,693,1155,active
2066,7,finished_goods,4,1445,919,active
3848,7,finished_goods,4,768,1378,active
11807,25,raw_ingredients,21,627,515,paused
5804,11,raw_ingredients,8,1121,1413,active
1935,4,raw_ingredients,4,773,1018,active
1783,1,raw_ingredients,3,933,837,active
9482,6,raw_ingredients,3,900,866,active
8212,9,finished_goods,13,1174,889,active
6039,11,raw_ingredients,14,1408,690,active
9549,13,raw_ingredients,10,553,799,active
2722,1,finished_goods,12,534,1406,active
10629,19,raw_ingredients,14,1151,451,cancelled
11779,17,raw_ingredients,23,792,1143,paused
9089,7,raw_ingredients,2,712,1348,active
7651,1,raw_ingredients,2,838,1183,active
6211,5,raw_ingredients,4,754,515,active
11476,30,raw_ingredients,18,479,1180,paused
9585,13,raw_ingredients,11,1345,746,active
6917,8,raw_ingredients,7,1226,943,active
7579,9,raw_ingredients,11,1044,1165,active
11156,28,finished_goods,33,652,1337,paused
5528,2,finished_goods,2,1120,1084,active
5578,11,finished_goods,4,1289,1470,active
8128,4,finished_goods,1,1338,808,active
7617,13,raw_ingredients,14,557,1407,active
5381,3,finished_goods,4,795,630,active
9976,5,raw_ingredients,1,682,1110,active
6179,8,finished_goods,7,544,848,active
2929,3,raw_ingredients,12,1336,1088,active
7290,8,finished_goods,11,557,1314,active
8446,8,raw_ingredients,2,706,1294,active
196,3,finished_goods,2,1049,1263,active
2109,10,raw_ingredients,4,1251,1050,active
8175,12,finished_goods,3,724,554,active
2224,9,raw_ingredients,7,1017,929,active
1182,4,raw_ingredients,13,983,1288,active
8900,7,raw_ingredients,3,699,1074,active
4750,3,finished_goods,14,1260,1374,active
25,6,raw_ingredients,11,824,1168,active
3192,5,finished_goods,1,1231,1458,active
5510,4,raw_ingredients,3,592,1462,active
9388,7,finished_goods,3,521,749,active
1487,4,raw_ingredients,3,636,731,active
10540,13,raw_ingredients,10,491,1364,cancelled
5150,7,raw_ingredients,6,508,563,active
4732,7,raw_ingredients,11,744,558,active
6405,1,raw_ingredients,7,694,1371,active
8323,5,raw_ingredients,4,657,736,active
5916,11,finished_goods,7,781,1081,active
6966,12,raw_ingredients,14,1096,837,active
3715,14,raw_ingredients,12,813,1231,active
7923,1,raw_ingredients,7,854,760,active
2453,4,raw_ingredients,12,847,1108,active
890,5,raw_ingredients,9,1193,1363,active
8598,13,raw_ingredients,7,1479,888,active
734,4,raw_ingredients,13,1139,788,active
9826,9,raw_ingredients,8,758,598,active
10830,8,finished_goods,11,1361,886,cancelled
11549,37,raw_ingredients,36,644,309,paused
4925,9,raw_ingredients,4,1331,1280,active
8190,13,raw_ingredients,3,868,784,active
2896,4,raw_ingredients,14,1290,1179,active
8649,11,finished_goods,8,644,817,active
5582,3,finished_goods,4,1103,835,active
7854,14,raw_ingredients,4,1439,1493,active
10016,9,finished_goods,13,828,1145,cancelled
2393,14,raw_ingredients,4,633,1274,active
10270,10,finished_goods,10,1115,676,cancelled
10790,19,finished_goods,17,836,881,cancelled
11049,10,raw_ingredients,36,1006,270,paused
808,1,raw_ingredients,2,867,510,active
1180,1,raw_ingredients,3,845,523,active
1218,8,raw_ingredients,12,980,654,active
940,8,finished_goods,10,1051,1486,active
9418,8,finished_goods,5,1309,1457,active
4424,4,raw_ingredients,6,730,565,active
2054,10,raw_ingredients,7,1408,606,active
8452,9,finished_goods,6,576,1001,active
9502,8,raw_ingredients,5,1261,678,active
10047,14,finished_goods,13,1204,815,cancelled
3676,1,raw_ingredients,9,907,1072,active
2177,12,finished_goods,12,697,989,active
7689,14,raw_ingredients,8,1395,1378,active
4851,9,raw_ingredients,1,1301,700,active
6238,14,raw_ingredients,7,1470,1008,active
10015,11,finished_goods,19,906,653,cancelled
8751,1,raw_ingredients,1,1167,1479,active
2211,8,raw_ingredients,14,791,632,active
4449,8,raw_ingredients,5,821,688,active
9261,13,finished_goods,11,1004,926,active
3220,11,raw_ingredients,13,906,1084,active
964,14,raw_ingredients,6,1263,1059,active
9135,2,finished_goods,4,697,1435,active
7298,8,raw_ingredients,11,823,1057,active
5504,8,raw_ingredients,9,1464,1475,active
1582,8,raw_ingredients,5,816,1164,active
2052,14,raw_ingredients,8,1143,852,active
11720,20,raw_ingredients,33,912,1120,paused
143,2,raw_ingredients,10,659,872,active
1005,7,raw_ingredients,1,1039,1432,active
10996,16,finished_goods,11,569,1030,cancelled
9617,1,raw_ingredients,3,1261,674,active
1844,2,raw_ingredients,7,1403,1227,active
3562,7,raw_ingredients,3,1182,1356,active
8796,2,raw_ingredients,14,1421,1391,active
1515,10,raw_ingredients,8,1181,878,active
11506,11,raw_ingredients,10,734,1385,paused
709,10,raw_ingredients,6,1361,964,active
1745,9,raw_ingredients,14,879,1030,active
5111,14,raw_ingredients,11,1431,1460,active
9664,12,finished_goods,13,1292,1082,active
4430,5,raw_ingredients,1,1026,596,active
5140,12,finished_goods,6,705,1390,active
514,5,raw_ingredients,12,1122,1052,active
8420,11,raw_ingredients,10,526,692,active
5043,8,raw_ingredients,4,889,1155,active
1,10,raw_ingredients,10,1061,636,active
832,13,raw_ingredients,8,958,793,active
1826,13,finished_goods,9,1195,855,active
10232,19,raw_ingredients,17,842,815,cancelled
6472,4,raw_ingredients,1,1348,729,active
8852,10,raw_ingredients,3,568,910,active
6304,13,raw_ingredients,5,1429,736,active
5728,3,raw_ingredients,12,1470,897,active
11486,13,raw_ingredients,36,1407,577,paused
9235,10,raw_ingredients,1,565,1358,active
7586,5,raw_ingredients,4,1055,648,active
8665,10,raw_ingredients,11,1322,528,active
2002,6,raw_ingredients,8,1331,795,active
6848,14,raw_ingredients,1,1336,892,active
11938,35,raw_ingredients,11,812,1083,paused
1527,3,raw_ingredients,3,714,974,active
11948,20,finished_goods,9,1367,624,paused
1274,6,raw_ingredients,3,1355,596,active
4520,14,raw_ingredients,6,899,693,active
8938,13,raw_ingredients,2,788,1479,active
3066,2,raw_ingredients,5,534,827,active
9259,3,finished_goods,9,994,1392,active
365,12,raw_ingredients,8,927,743,active
376,5,raw_ingredients,13,1045,533,active
4817,2,raw_ingredients,2,764,1465,active
8524,14,raw_ingredients,1,638,1458,active
994,11,finished_goods,9,714,978,active
2816,8,raw_ingredients,13,1051,762,active
2063,13,finished_goods,8,721,1453,active
1537,5,raw_ingredients,7,1029,1348,active
5131,11,raw_ingredients,13,1321,1455,active
58,13,finished_goods,5,736,503,active
6855,13,raw_ingredients,8,584,773,active
7758,11,finished_goods,1,1352,1260,active
